Alpha: 0.0, Mean Accuracy: 0.705536663994336
Alpha: 0.1, Mean Accuracy: 0.65276529554893
Alpha: 0.2, Mean Accuracy: 0.5999939271035244
Alpha: 0.30000000000000004, Mean Accuracy: 0.5472225586581191
Alpha: 0.4, Mean Accuracy: 0.4944511902127131
Alpha: 0.5, Mean Accuracy: 0.44167982176730713
Alpha: 0.6000000000000001, Mean Accuracy: 0.38890845332190127
Alpha: 0.7000000000000001, Mean Accuracy: 0.3361370848764959
Alpha: 0.8, Mean Accuracy: 0.28336571643109004
Alpha: 0.9, Mean Accuracy: 0.23059434798568398
Alpha: 1.0, Mean Accuracy: 0.17782297954027834
