test_root_path: /root/autodl-tmp/pytracking/pytracking/tracking_results/tomp/tomp101
Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_111757_1_10
acc: 0.25445951269501055

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_111757_1_2
acc: 0.40489451673944127

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_111757_1_1
acc: 0.6923549371011796

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_111757_1_3
acc: 0.4866985278229949

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_111757_1_5
acc: 0.4834726483206178

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_111757_1_4
acc: 0.6921504447221438

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_111757_1_6
acc: 0.4006340572579588

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_111757_1_7
acc: 0.329978990205919

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124000_1_10
acc: 0.5842042198156968

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124000_1_1
acc: 0.7709546055750036

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_111757_1_9
acc: 0.2713682067121218

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124000_1_2
acc: 0.6745647196503164

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124000_1_4
acc: 0.42453705880403836

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124000_1_3
acc: 0.6504006593425339

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124000_1_7
acc: 0.338532710185912

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124000_1_6
acc: 0.33279202737850044

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124000_1_9
acc: 0.2503240714802037

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124000_1_8
acc: 0.07276616639808635

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124612_1_1
acc: 0.5379657601680817

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124000_1_5
acc: 0.1320238325820384

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124612_1_4
acc: 0.7086748171436832

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124612_1_3
acc: 0.09246810958889919

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124612_1_2
acc: 0.36767594650939106

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124612_1_6
acc: 0.7456262469925226

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124612_1_5
acc: 0.693615420688076

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_124612_1_7
acc: 0.5734034435099848

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_134301_1_2
acc: 0.5317045799029296

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_134301_1_1
acc: 0.4486041016849085

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_134301_1_4
