test_root_path: results/Anti-UAV/model
Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_10
acc: 0.25551273119566736

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_1
acc: 0.6179789610535102

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_5
acc: 0.028494026697531732

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_2
acc: 0.2583933862949061

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_3
acc: 0.5505107414949044

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_4
acc: 0.3482835198891757

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_7
acc: 0.26623858025916736

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_6
acc: 0.19357449474515406

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_8
acc: 0.0017298657999524243

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_9
acc: 0.2613327642527889

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124000_1_10
acc: 0.2205350756799106

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124000_1_1
acc: 0.7204037486181254

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124000_1_2
acc: 0.5134502384662474

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124000_1_3
acc: 0.6692287497355563

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124000_1_4
acc: 0.4007094938335534

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124000_1_5
acc: 0.02571332717084393

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124612_1_1
acc: 0.12753229965178892

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124000_1_6
acc: 0.30752993435340836

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124612_1_2
acc: 0.11237379391913367

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124000_1_9
acc: 0.02825904877711298

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124000_1_8
acc: 0.015518005645757327

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124000_1_7
acc: 0.024029289600559188

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124612_1_8
acc: 0.21122163926518536

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124612_1_5
acc: 0.37019798948273774

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124612_1_6
acc: 0.6095073605512716

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124612_1_7
acc: 0.43884477812755596

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_124612_1_4
acc: 0.40480780251199255

