Alpha: 0.0, Mean Accuracy: 0.5372775251160188
Alpha: 0.1, Mean Accuracy: 0.5372775251160188
Alpha: 0.2, Mean Accuracy: 0.5372775251160188
Alpha: 0.30000000000000004, Mean Accuracy: 0.5372775251160188
Alpha: 0.4, Mean Accuracy: 0.5372775251160188
Alpha: 0.5, Mean Accuracy: 0.5372775251160188
Alpha: 0.6000000000000001, Mean Accuracy: 0.5372775251160188
Alpha: 0.7000000000000001, Mean Accuracy: 0.5372775251160188
Alpha: 0.8, Mean Accuracy: 0.5372775251160188
Alpha: 0.9, Mean Accuracy: 0.5372775251160188
Alpha: 1.0, Mean Accuracy: 0.5372775251160188
